S 18d0cc,1 miss 
S 40304fe,8 hit 
S 40304fb,8 hit 
S 4c316c8,8 hit 
L 10b0db,1 hit 
L 4c35ff8,8 hit 
L 4c36000,8 hit 
L 4c36358,8 miss eviction 
L 10b0dc,1 hit 
L 4bf6304,1 hit 
L 4bf627c,4 miss eviction 
L 4c00081,1 miss eviction 
L 4c31778,8 hit 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
S 4030506,1 miss eviction 
S 4c316c8,8 hit 
L 4c30040,8 hit 
L 10b0dd,32 miss eviction 
L 4c31778,8 hit 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
L 10b0df,4 miss eviction 
L 10b0dd,4 hit 
S 4030509,4 hit 
S 4030507,4 hit 
S 4c316c8,8 hit 
L 10b0e3,1 miss eviction 
L 10b0e4,1 hit 
L 4bf6304,1 hit 
L 4bf627c,4 hit 
L 4c00088,1 hit 
L 4c31778,8 hit 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
S 403050d,1 hit 
S 4c316c8,8 hit 
L 4c30040,8 hit 
L 10b0e0,32 hit 
L 4c31778,8 hit 
L 4c324d8,8 hit 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
L 10b0e5,8 hit 
L 10b0e5,8 hit 
S 403050e,8 hit 
S 403050e,8 hit 
S 4c316c8,8 hit 
L 10b0ed,1 hit 
L 10b0ee,1 hit 
L 4bf6304,1 hit 
L 4bf627c,4 hit 
L 4c00081,1 hit 
L 4c00084,1 hit 
L 4c00088,1 hit 
L 4c00080,1 hit 
L 4c00085,1 hit 
L 4c00089,1 hit 
L 4c00085,1 hit 
L 4c00081,1 hit 
L 4c00086,1 hit 
L 4c00081,1 hit 
L 4c31778,8 hit 
L 4c324d8,8 hit 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
S 4030518,8 hit 
S 4030516,8 hit 
S 4c316c8,8 hit 
L 4c30040,8 hit 
L 10b0e0,32 hit 
L 4c31778,8 hit 
L 4c324d8,8 hit 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
L 10b0f0,4 hit 
L 10b0ef,4 hit 
S 4030521,4 miss eviction 
S 4030520,4 hit 
S 4c316c8,8 hit 
L 10b0f4,1 hit 
L 10b0f5,1 hit 
L 4bf6304,1 hit 
L 4bf627c,4 hit 
L 4c00080,1 hit 
L 4c31778,8 hit 
L 4c324d8,8 hit 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
S 4030525,1 hit 
S 4c316c8,8 hit 
L 4c30040,8 hit 
L 10b0e0,32 hit 
L 10b100,32 miss eviction 
L 4c31778,8 hit 
L 4c324d8,8 hit 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
L 10b0f9,8 hit 
L 10b0f6,8 hit 
S 4030529,8 hit 
S 4030526,8 hit 
S 4c316c8,8 hit 
L 10b101,1 hit 
L 10b102,1 hit 
L 4bf6304,1 hit 
L 4bf627c,4 hit 
L 4c00081,1 hit 
L 4c31778,8 hit 
L 4c324d8,8 hit 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
S 4030531,1 hit 
S 4c316c8,8 hit 
L 4c30040,8 hit 
L 10b103,32 hit 
L 4c31778,8 hit 
L 4c324d8,8 hit 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
L 10b103,2 hit 
L 10b103,2 hit 
S 4030532,2 hit 
S 4030532,2 hit 
S 4c316c8,8 hit 
L 10b105,1 hit 
L 4c316a0,4 hit 
L 4c31728,8 hit 
L 4c334c4,4 miss eviction 
S 4c334c4,4 hit 
S 4c334c8,8 hit 
L 4a44518,4 miss eviction 
M 4c334c0,4 hit hit 
L 4a44528,8 miss eviction 
L 4a44528,8 hit 
L 10d1c0,4 miss eviction 
S 14d0c8,4 miss eviction 
L 10d1c4,4 hit 
S 14d148,4 miss eviction 
L 10d1c8,4 hit 
L 10cf80,8 miss eviction 
L 4a44528,8 hit 
L 4c2ff48,8 miss eviction 
L 4c31788,8 miss eviction 
L 4a44528,8 hit 
L 4c2fe70,8 miss eviction 
L 4a44480,4 miss eviction 
L 4c31760,4 hit 
L 4c316a0,4 hit 
L 4c30040,8 hit 
L 10b0a0,32 hit 
L 4c36170,4 hit 
L 4c2ff68,8 miss eviction 
L 4c31728,8 hit 
L 4a44510,8 hit 
L 4c334c8,8 miss eviction 
L 4a44518,4 hit 
M 4c334c0,4 hit hit 
L 4c31728,8 hit 
S 4c334c8,8 hit 
M 4c334c4,4 hit hit 
L 4c31778,8 miss eviction 
L 4c324d8,8 miss eviction 
