S 18d0ac,1 miss 
L 4c00086,1 hit 
L 4c00084,1 hit 
L 4c00089,1 hit 
L 4c00087,1 hit 
L 4c31778,8 hit 
L 4c324d8,8 hit 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
S 40304bc,8 hit 
S 40304bb,8 hit 
S 4c316c8,8 hit 
L 4c30040,8 hit 
L 10b120,32 hit 
L 4c31778,8 hit 
L 4c324d8,8 hit 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
L 10b130,4 hit 
L 10b12f,4 hit 
S 40304c5,4 miss eviction 
S 40304c4,4 hit 
S 4c316c8,8 hit 
L 10b134,1 hit 
L 10b135,1 hit 
L 4bf6304,1 hit 
L 4bf627c,4 hit 
L 4c00080,1 hit 
L 4c31778,8 hit 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
S 40304c9,1 miss eviction 
S 4c316c8,8 hit 
L 4c30040,8 hit 
L 10b120,32 hit 
L 10b140,32 miss eviction 
L 4c31778,8 hit 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 miss eviction 
L 10b139,8 hit 
L 10b136,8 hit 
S 40304cd,8 miss eviction 
S 40304ca,8 hit 
S 4c316c8,8 hit 
L 10b141,1 miss eviction 
L 10b142,1 hit 
L 4bf6304,1 hit 
L 4bf627c,4 hit 
L 4c00080,1 hit 
L 4c31778,8 hit 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 miss eviction 
S 40304d5,1 miss eviction 
S 4c316c8,8 hit 
L 4c30040,8 hit 
L 10b143,32 miss eviction 
L 4c31778,8 hit 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 miss eviction 
L 10b143,2 miss eviction 
L 10b143,2 hit 
S 40304d6,2 miss eviction 
S 40304d6,2 hit 
S 4c316c8,8 hit 
L 10b145,1 hit 
L 4c316a0,4 hit 
L 4c31728,8 hit 
L 4c334c4,4 miss eviction 
S 4c334c4,4 hit 
S 4c334c8,8 hit 
L 4a44518,4 miss eviction 
M 4c334c0,4 hit hit 
L 4a44528,8 miss eviction 
L 4a44528,8 hit 
L 10d120,4 miss eviction 
S 14d0a4,4 miss eviction 
L 10d124,4 hit 
L 10cf80,8 miss eviction 
L 4a44528,8 miss eviction 
L 4c2ff48,8 miss eviction 
L 4c31788,8 miss eviction 
L 4a44528,8 hit 
L 4c2fe70,8 miss eviction 
L 4a44480,4 miss eviction 
L 4c31760,4 hit 
L 4c316a0,4 hit 
L 4c30040,8 hit 
L 10b0e0,32 hit 
L 4c36170,4 hit 
L 4c2ff68,8 miss eviction 
L 4c31728,8 hit 
L 4a44510,8 hit 
L 4c334c8,8 hit 
L 4a44518,4 hit 
M 4c334c0,4 hit hit 
L 4c31728,8 hit 
S 4c334c8,8 hit 
M 4c334c4,4 hit hit 
L 4c31778,8 miss eviction 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 miss eviction 
L 10b0f1,4 hit 
L 10b0f1,4 hit 
S 40304d8,4 miss eviction 
S 40304d8,4 hit 
S 4c316c8,8 hit 
L 10b0f5,1 hit 
L 4c35ff8,8 hit 
L 4c36000,8 hit 
L 4c36358,8 miss eviction 
L 10b0f6,1 hit 
L 4bf6304,1 hit 
L 4bf627c,4 miss eviction 
L 4c00081,1 miss eviction 
L 4c31778,8 hit 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
S 40304dc,1 miss eviction 
S 4c316c8,8 hit 
L 4c30040,8 hit 
L 10b0e0,32 hit 
L 4c31778,8 hit 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
L 10b0f9,4 hit 
L 10b0f7,4 hit 
S 40304df,4 miss eviction 
S 40304dd,4 hit 
S 4c316c8,8 hit 
L 10b0fd,1 hit 
L 10b0fe,1 hit 
L 4bf6304,1 hit 
L 4bf627c,4 hit 
L 4c00081,1 hit 
L 4c31778,8 hit 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
S 40304e3,1 miss eviction 
S 4c316c8,8 hit 
L 4c30040,8 hit 
L 10b0e0,32 miss eviction 
L 10b100,32 miss eviction 
L 4c31778,8 hit 
L 4c324d8,8 hit 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
L 10b0ff,8 hit 
L 10b0ff,8 hit 
S 40304e4,8 miss eviction 
S 40304e4,8 hit 
S 4c316c8,8 hit 
L 10b107,1 hit 
L 10b108,1 hit 
L 4bf6304,1 hit 
L 4bf627c,4 hit 
L 4c00089,1 hit 
L 4c00089,1 hit 
L 4c00084,1 hit 
L 4c00083,1 hit 
L 4c00088,1 hit 
L 4c00089,1 hit 
L 4c00083,1 hit 
L 4c00082,1 hit 
L 4c00085,1 hit 
L 4c00081,1 hit 
L 4c31778,8 hit 
L 4c324d8,8 hit 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
S 40304ee,8 hit 
S 40304ec,8 hit 
S 4c316c8,8 hit 
L 4c30040,8 hit 
L 10b109,32 hit 
L 4c31778,8 hit 
L 4c324d8,8 hit 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
L 10b10a,2 hit 
L 10b109,2 hit 
S 40304f7,2 hit 
S 40304f6,2 hit 
S 4c316c8,8 hit 
L 10b10c,1 hit 
L 4c316a0,4 hit 
L 4c31728,8 hit 
L 4c334c4,4 miss eviction 
S 4c334c4,4 hit 
S 4c334c8,8 hit 
L 4a44518,4 miss eviction 
M 4c334c0,4 hit hit 
L 4a44528,8 hit 
L 4a44528,8 hit 
L 10d128,4 miss eviction 
S 14d1a4,4 hit 
L 10d12c,4 hit 
S 14d224,4 hit 
L 10d130,4 hit 
S 14d2a4,4 miss eviction 
L 10d134,4 hit 
S 14d324,4 miss eviction 
L 10d138,4 hit 
S 14d3a4,4 hit 
L 10d13c,4 hit 
S 14d424,4 hit 
S 14d124,4 miss eviction 
L 10cf80,8 miss eviction 
L 4a44528,8 miss eviction 
L 4c2ff48,8 miss eviction 
L 4c31788,8 miss eviction 
L 4a44528,8 hit 
L 4c2fe70,8 miss eviction 
L 4a44480,4 miss eviction 
L 4c31760,4 hit 
L 4c316a0,4 miss eviction 
L 4c30040,8 hit 
L 10b110,32 miss eviction 
L 4c36170,4 hit 
L 4c2ff68,8 miss eviction 
L 4c31728,8 miss eviction 
L 4a44510,8 miss eviction 
L 4c334c8,8 hit 
L 4a44518,4 hit 
M 4c334c0,4 hit hit 
L 4c31728,8 hit 
S 4c334c8,8 hit 
M 4c334c4,4 hit hit 
L 4c31778,8 miss eviction 
L 4c324d8,8 miss eviction 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
L 10b113,8 miss eviction 
L 10b110,8 hit 
S 40304fc,8 hit 
S 40304f9,8 hit 
S 4c316c8,8 hit 
L 10b11b,1 hit 
L 4c35ff8,8 hit 
L 4c36000,8 hit 
L 4c36358,8 miss eviction 
L 10b11c,1 hit 
L 4bf6304,1 hit 
L 4bf627c,4 miss eviction 
L 4c00081,1 miss eviction 
L 4c31778,8 hit 
L 4c324d8,8 hit 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
S 4030504,1 miss eviction 
S 4c316c8,8 hit 
L 4c30040,8 hit 
L 10b11d,32 miss eviction 
L 4c31778,8 hit 
L 4c324d8,8 hit 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
L 4c30148,8 hit 
L 10b11f,4 hit 
L 10b11d,4 hit 
S 4030507,4 miss eviction 
S 4030505,4 hit 
S 4c316c8,8 hit 
L 10b123,1 miss eviction 
L 10b124,1 hit 
L 4bf6304,1 hit 
L 4bf627c,4 hit 
L 4c00088,1 hit 
L 4c31778,8 hit 
L 4c324d8,8 hit 
L 4c316c8,8 hit 
L 4c316a0,4 hit 
L 4c316d0,8 hit 
